ciuName,description,id,mozBugUrl,mozPosition,mozPositionDetail,mozPositionIssue,org,title,url
streams,"Byte streams are a specialization of <a href=""#streams"">Streams</a> that are designed to deal with raw bytes.",byte-streams,,worth prototyping,Byte streams are a useful specialization of streams that is well suited to performant I/O and they are well integrated with Typed Arrays.,457,WHATWG,Byte Streams,https://streams.spec.whatwg.org/
,Extends the COLR table in OpenType fonts with a new format supporting richer graphical capabilities for emoji (and similar) glyph design.,font-colrv1,https://bugzilla.mozilla.org/show_bug.cgi?id=1740525,worth prototyping,"Provides comparable design capabilities to OpenType-SVG, but in a more compact and lightweight form that integrates better into font rendering pipelines. Has the potential to supersede OpenType-SVG fonts in web use.",497,Proposal,COLR v1 Fonts,https://github.com/googlefonts/colr-gradients-spec/
,"CSS Cascade Layers provides a structured way to organize related style rules within a single origin. Rules within a single cascade layer cascade together, without interleaving with style rules outside the layer.",css-cascade-layers,https://bugzilla.mozilla.org/show_bug.cgi?id=1699214,worth prototyping,"This feature provides a way to abstract CSS rules in style sheets, supported in popular CSS frameworks/pre-processors, and a frequent web developer request. Though the specification is in early stages, the goal is worth pursuing.",471,W3C,CSS Cascade Layers,https://drafts.csswg.org/css-cascade-5/#layering
css-subgrid,"This draft defines additions to CSS Grid, primarily for the subgrid feature.",subgrid,https://bugzilla.mozilla.org/show_bug.cgi?id=1349043,important,"Subgrid adds a critical enhancement to CSS Grid, in particular for many CSS Grid use-cases that require alignment across nested semantic elements.",125,W3C,CSS Grid Layout Module Level 2,https://drafts.csswg.org/css-grid-2/
,An API for allowing web developers to define their own layout modes with javascript.,css-layout-api,https://bugzilla.mozilla.org/show_bug.cgi?id=1302337,worth prototyping,This specification allows developing prototypes of new CSS layout systems and provides an escape hatch for developers when the existing systems aren't good enough for a particular piece of a web page.,93,W3C,CSS Layout API,https://drafts.css-houdini.org/css-layout-api-1
css-paint-api,"An API for allowing web developers to define a custom CSS &lt;image> with javascript, which will respond to style and size changes.",css-paint-api,https://bugzilla.mozilla.org/show_bug.cgi?id=1302328,worth prototyping,This specification allows developing prototypes of new graphical CSS features and provides an escape hatch for developers when the existing features aren't good enough for a particular piece of a web page.,93,W3C,CSS Painting API,https://drafts.css-houdini.org/css-paint-api-1
,"This CSS module defines an API for registering new CSS properties. Properties registered using this API are provided with a parse syntax that defines a type, inheritance behaviour, and an initial value.",css-properties-and-values-api,https://bugzilla.mozilla.org/show_bug.cgi?id=1273706,worth prototyping,This specification makes it significantly easier to use CSS custom properties in ways that are more like regular CSS properties.,93,W3C,CSS Properties and Values API,https://drafts.css-houdini.org/css-properties-values-api-1
mdn-css_at-rules_property,The @property rule represents a custom property registration directly in a stylesheet without having to run any JS.,at-property,,worth prototyping,Having a declarative registration mechanism for custom properties is a good addition to CSS Properties and Values API.,331,W3C,CSS Properties and Values API: @property,https://drafts.css-houdini.org/css-properties-values-api-1#at-property-rule
,"This specification defines the ::part() and ::theme() pseudo-elements on shadow hosts, allowing shadow hosts to selectively expose chosen elements from their shadow tree to the outside page for styling purposes.",css-shadow-parts,,worth prototyping,,59,W3C,CSS Shadow Parts,https://drafts.csswg.org/css-shadow-parts
,Converting CSSOM value strings into meaningfully typed JavaScript representations and back can incur a significant performance overhead. This specification exposes CSS values as typed JavaScript objects to facilitate their performant manipulation.,css-typed-om,https://bugzilla.mozilla.org/show_bug.cgi?id=1278697,worth prototyping,This specification provides an easier way to manipulate the CSS object model.,93,W3C,CSS Typed OM,https://drafts.css-houdini.org/css-typed-om-1
mdn-css_properties_overflow_clip,overflow:clip is a feature of CSS Overflow Module Level 3 that is similar to overflow:hidden except without a formatting context or programmatic scrollability.,css-overflow-clip,https://bugzilla.mozilla.org/show_bug.cgi?id=1531609,important,This feature is both a useful declarative presentational feature for web developers and standardizes a non-standard -moz prefixed value.,418,W3C,CSS overflow clip,https://drafts.csswg.org/css-overflow-3/#valdef-overflow-clip
,This specification defines a HTTP/2 frame type to allow clients to inform the server of their cache's contents. Servers can then use this to inform their choices of what to push to clients.,http-cache-digest,,non-harmful,This is experimental technology that might improve the use of server push by giving servers information about what is cached. It is still unclear how much this might improve performance; more experimentation is likely necessary to prove this out.,131,IETF,Cache Digests for HTTP/2,https://tools.ietf.org/html/draft-ietf-httpbis-cache-digest
,This document defines an imperative mechanism which allows web developers to instruct a user agent to clear a site's locally stored data related to a host.,clear-site-data,https://bugzilla.mozilla.org/show_bug.cgi?id=1268889,worth prototyping,"This feature is useful for sites to be able to recover from mistakes in deployment of certain web technologies like Service Workers, and thus makes them more confident about deploying such technology.",90,W3C,Clear Site Data,https://w3c.github.io/webappsec-clear-site-data/
,This document defines a set of JavaScript APIs to compress and decompress streams of binary data.,compression-streams,,worth prototyping,This provides a small API wrapper around compression formats implementations already have to support and hopefully leads to more things being compressed due to ease-of-use.,207,Proposal,Compression Streams,https://wicg.github.io/compression/
,"This draft defines additions to CSSOM to make CSSStyleSheet objects directly constructable, along with a way to use them in DocumentOrShadowRoots.",construct-stylesheets,,worth prototyping,,103,Proposal,Constructable Stylesheet Objects,https://wicg.github.io/construct-stylesheets/
,This proposal adds an API for prompting and querying the user’s contacts for one or more items with a handful of contact properties.,contact-picker,,defer,"This API innovates in some ways beyond several previous Contacts APIs, though uses different properties than HTML autofill field names.",153,Proposal,Contact Picker API,https://wicg.github.io/contact-api/spec/
,This document defines a mechanism by which a web page can embed a nested browsing context if and only if it agrees to enforce a particular set of restrictions upon itself.,cspee,,non-harmful,"This specification allows sites to specify minimum CSP policies for embedded content. The risk of problems arising from misalignment between different policies is managed well. The resulting complexity is not trivial, but it is balanced against the security improvements.",326,W3C,Content Security Policy: Embedded Enforcement,https://w3c.github.io/webappsec-cspee/
cookie-store-api,An asynchronous Javascript cookies API for documents and workers,cookie-store,https://bugzilla.mozilla.org/show_bug.cgi?id=1475599,defer,"This API provides better access to cookies. However, the improvements also expand access to cookie metadata and the interactions with privacy features like the Storage Access API are unclear. Work on improving cookie interoperability, which is ongoing, might be needed before an assessment can be made.",94,Proposal,Cookie Store API,https://wicg.github.io/cookie-store/
,This document defines a mechanism for reporting browser crashes to site owners through the use of the Reporting API.,crash-reporting,https://bugzilla.mozilla.org/show_bug.cgi?id=1607364,worth prototyping,"This seems like it could be a useful addition to the reporting API.  We're not yet confident what level of user consent is needed, but we can experiment with that without changes to the specification.",288,Proposal,Crash Reporting,https://wicg.github.io/crash-reporting/
credential-management,"This specification describes an imperative API enabling a website to request a user’s credentials from a user agent, and to help the user agent correctly store user credentials for future use.",credman,https://bugzilla.mozilla.org/show_bug.cgi?id=1156047,defer,Development of the specification seems to have stalled and it's also not a priority for Mozilla.,172,W3C,Credential Management Level 1,https://w3c.github.io/webappsec-credential-management/
,Blocklist certain opaque responses based on MIME type and return an 'emptied' response instead.,corb,https://bugzilla.mozilla.org/show_bug.cgi?id=1459357,non-harmful,"While this is an important aspect of a robust Spectre-defense, we would like to see a safelist-based approach pursued, e.g., <a href=""https://github.com/annevk/orb"">Opaque Response Blocking</a>.",81,Proposal,Cross-Origin Read Blocking (CORB),https://chromium.googlesource.com/chromium/src/+/master/services/network/cross_origin_read_blocking_explainer.md
,"Add support for Curve25519 algorithms in the Web Cryptography API, namely the signature algorithm Ed25519 and the key agreement algorithm X25519.",webcrypto-curve25519,,worth prototyping,"We are in favor of this work, but would like to see it have a path to standardization.  When doing that, it may be worth reconsidering some of the ""no seatbelts"" aspects of WebCrypto more generally, and perhaps adding other algorithms as well.",271,Proposal,Curve25519 in the Web Cryptography API,https://github.com/tQsW/webcrypto-curve25519
custom-elementsv1,A way to create new HTML elements implemented through JavaScript.,custom-elements,,worth prototyping,A welcome successor to XBL!,60,WHATWG,Custom elements,https://html.spec.whatwg.org/multipage/custom-elements.html#custom-elements
,Markup for ShadowRoot nodes.,declarative-shadow-dom,,non-harmful,"We're not convinced that the complexity this feature introduces upon the HTML parser carries its weight in terms of usefulness for web developers. There's also a risk that the processing model is not compatible with a future declarative custom elements feature as it was developed in isolation. Having said that, the proposal is a reasonable approach for this functionality that takes into account the various constraints and security considerations that come with changing the HTML parser.",335,Proposal,Declarative Shadow DOM,https://github.com/mfreed7/declarative-shadow-dom/blob/master/README.md
,"This will allow custom elements to have ""default"" accessibility semantics, analogous to how built-in elements have ""implicit"" or ""native"" semantics.",custom-elements-a11y,,worth prototyping,This is an important addition to custom elements as otherwise they'd have to publicly expose their internals in order to get accessibility correct.,201,WHATWG,Default Accessibility Semantics for Custom Elements,https://github.com/whatwg/html/pull/4658
document-policy,Document policy allows content to define a policy that constrains embedded content.,document-policy,,non-harmful,"The mechanism described provides sites greater control over embedded content. Constraints are accepted by content or the browser does not load the content. This ensures that policies are effective without risk of content breaking in inexplicable ways due to those policies. The specification needs a lot more work, but no significant problems are apparent or anticipated.",327,W3C,Document Policy,https://w3c.github.io/webappsec-feature-policy/document-policy.html
,This document defines a simple mechanism for encrypting the Server Name Indication for TLS 1.3.,tls-esni,https://bugzilla.mozilla.org/show_bug.cgi?id=1494901,important,This feature enables encryption of the server name in connection attempts. It provides much-needed protection against attempts by network observers to see what people are doing. This work is complementary with efforts to encrypt DNS requests that we are also driving.,139,IETF,Encrypted Server Name Indication for TLS 1.3,https://tools.ietf.org/html/draft-ietf-tls-esni
,This specification defines APIs for observing latency of certain events triggered by user interaction.,event-timing-api,https://bugzilla.mozilla.org/show_bug.cgi?id=1667836,worth prototyping,"This feature grants web authors insights about the latency of certain events triggered by user interaction. This API reports the timestamp of when the event was created, when the browser started to process the event, when the browser finished to process the event and the next frame rendering time (which represented when the content of the event was presented on screen). We believe this is useful for web authors to learn more about user engagement.",283,Proposal,Event Timing API,https://wicg.github.io/event-timing/
,"This document defines a set of Fetch metadata request headers that aim to provide servers with enough information to make a priori decisions about whether or not to service a request based on the way it was made, and the context in which it will be used.",fetch-metadata,https://bugzilla.mozilla.org/show_bug.cgi?id=1508292,worth prototyping,This gives servers useful context about requests that can be used to mitigate various security issues. The existing setup for embed/object elements gave some tough design challenges for this feature that were satisfactorily resolved. (There's also a reasonable expectation to be able to simplify these elements going forward.),88,W3C,Fetch Metadata Request Headers,https://github.com/w3c/webappsec-fetch-metadata
,"This proposal gives web applications a way to register their ability to handle (read, stream, edit) files with given MIME types and/or file extensions.",wicg-file-handling,,defer,Not far enough along to properly evaluate.,158,Proposal,File Handling,https://github.com/WICG/file-handling/blob/master/explainer.md
,File System defines infrastructure for file systems as well as their API.,fs,https://bugzilla.mozilla.org/show_bug.cgi?id=1748667,worth prototyping,A storage endpoint with a POSIX-like file system API is a valuable addition to the web platform.,562,WHATWG,File System,https://fs.spec.whatwg.org/
native-filesystem-api,"This document defines a web platform API that lets websites gain write access to the local file system. It builds on File API, but adds lots of new functionality on top.",native-file-system,,harmful,"There's a subset of this API we're quite enthusiastic about (in particular providing a read/write API for files and directories as alternative storage endpoint), but it is wrapped together with aspects for which we do not think meaningful end user consent is possible to obtain (in particular cross-site access to the end user's local file system). Overall we consider this harmful therefore, but Mozilla could be supportive of parts, provided this were segmented better.",154,Proposal,File System Access,https://wicg.github.io/file-system-access/
,This document proposes a new web platform mechanism to declare a collection of related domains as being in a First-Party Set.,first-party-sets,,harmful,"We believe the definition of first party should be clear and understandable to users, web developers, and publishers, and thus ideally it should be based only on the top-level URL.  While we can't quite do that today because it isn't compatible with all sites, we'd like to move towards doing that, rather than standardizing a mechanism that moves away from that.  See <a href=""https://github.com/privacycg/proposals/issues/17#issuecomment-641687052"">more details</a>.",350,Proposal,First-Party Sets,https://github.com/WICG/first-party-sets
,"An API to enable objects other than built-in form control elements to participate in form submission, form validation, and so on.",form-participation-api,"https://bugzilla.mozilla.org/show_bug.cgi?id=1518442,https://bugzilla.mozilla.org/show_bug.cgi?id=1552327",worth prototyping,These propose what seems likely to be a useful addition to allow custom controls to participate in form validation and submission.,150,WHATWG,Form Participation API,https://github.com/whatwg/html/pull/4383
,A proposal for using URL fragments with spaces in them to select a bit of text to highlight and scroll to,fragmention,,worth prototyping,"We feel that some of the use cases this proposal addresses are very important to address, but worry about the lack of a clear processing model and about possible compat constraints that may need implementation experience to fully understand.  More details are in the position issue.  See also the <a href=""#scroll-to-text-fragment"">position on Scroll to Text Fragment</a>, which aims to address similar use cases.",234,Proposal,Fragmention,https://indieweb.org/fragmention
,This specification defines a framework for exposing sensor data to the Open Web Platform in a consistent way. It does so by defining a blueprint for writing specifications of concrete sensors along with an abstract Sensor interface that can be extended to accommodate different sensor types.,generic-sensor,,harmful,"The purpose of most sensors and their associated risks are incredibly hard to convey to users, which means we cannot get informed consent. We are interested in addressing the use cases websites need sensors for in ways that do not give websites access to the sensors directly as that is rife with security and privacy issues.",35,W3C,Generic Sensor API,https://w3c.github.io/sensors/
,This specification defines the GeolocationSensor interface for obtaining the geolocation of the hosting device.,geolocation-sensor,,harmful,"Given that the web already has a geolocation API, any additional API for the same purpose would have to meet a high bar as both will need to be maintained forever. While the document claims to improve security and privacy, there is no evidence that is the case. And as it can be largely polyfilled on top of the existing API, it seems better to invest in web platform geolocation additions there, if any.",36,W3C,Geolocation Sensor,https://w3c.github.io/geolocation-sensor/
mdn-api_navigator_getinstalledrelatedapps,The Get Installed Related Apps API allows web apps to detect if related apps are installed on the current device.,get-installed-related-apps,,harmful,This feature increases the fingerprinting surface of browsers without sufficient safeguards.,213,Proposal,Get Installed Related Apps API,https://wicg.github.io/get-installed-related-apps/spec
imports,HTML Imports are a way to include and reuse HTML documents in other HTML documents.,html-imports,,harmful,"Mozilla anticipated that JavaScript modules would change the landscape here and would rather invest in evolving that, e.g., through HTML Modules. Having a single mechanism to deal with dependencies rather than several, potentially conflicting systems, seems preferable.",60,W3C,HTML Imports,https://www.w3.org/TR/2016/WD-html-imports-20160225
,"An extension of the ES6 Script Modules system to include HTML Modules. These will allow web developers to package and access declarative content from script in a way that allows for good componentization and reusability, and integrates well into the existing ES6 Modules infrastructure.",html-modules,,worth prototyping,,137,WHATWG,HTML Modules,https://github.com/w3c/webcomponents/blob/gh-pages/proposals/html-modules-explainer.md
,"Overhaul the <code>autofocus</code> processing model to better match browser behavior, fit better within the specification ecosystem, and avoid bad results for users.",autofocus-overhaul,https://bugzilla.mozilla.org/show_bug.cgi?id=1574435,worth prototyping,,195,WHATWG,HTML autofocus attribute overhaul,https://github.com/whatwg/html/pull/4763
mdn-api_htmlvideoelement_requestvideoframecallback,&lt;video>.requestVideoFrameCallback() allows web authors to be notified when a frame has been presented for composition.,requestVideoFrameCallback,,worth prototyping,"This is intended to allow web authors to do efficient per-video-frame processing of video, such as video processing and painting to a canvas, video analysis, or synchronization with external audio sources.",250,Proposal,HTMLVideoElement.requestVideoFrameCallback(),https://wicg.github.io/video-rvfc
,This document defines two independent HTTP Cache-Control extensions that allow control over the use of stale responses by caches. This document is not an Internet Standards Track specification; it is published for informational purposes.,http-stale-controls,,worth prototyping,The stale-while-revalidate cache control extension appears to provide improved user experience with no obvious drawbacks. We take no position on the other mechanisms in RFC 5861 at this time.,144,Proposal,HTTP Cache-Control Extensions for Stale Content,https://tools.ietf.org/html/rfc5861
client-hints-dpr-width-viewport,"An increasing diversity of Web-connected devices and software capabilities has created a need to deliver optimized content for each device. This specification defines an extensible and configurable set of HTTP request header fields, colloquially known as Client Hints, to address this. They are intended to be used as input to proactive content negotiation; just as the Accept header field allows user agents to indicate what formats they prefer, Client Hints allow user agents to indicate device and agent specific preferences.",http-client-hints,https://bugzilla.mozilla.org/show_bug.cgi?id=935216,non-harmful,"Architecturally, Mozilla prefers client-side solutions for retrieving alternate versions of content, such as the HTML &lt;picture> tag. Despite these architectural preferences, we find that Client-Hints do not present a concrete harm to the web or to its users. ",79,IETF,HTTP Client Hints,https://tools.ietf.org/html/draft-ietf-httpbis-client-hints
,This document defines a web platform API for observing system-wide user presence signals.,idle-detection-api,,harmful,"We are concerned about the user-surveillance, user-manipulation, and abuse of user resources potential of this API, despite the required 60 second mitigation. Additionally it seems to be an unnecessarily powerful approach for the motivating use-cases, which themselves are not even clear they are worth solving, as pointed out in <a href=""https://lists.webkit.org/pipermail/webkit-dev/2020-October/031562.html"">https://lists.webkit.org/pipermail/webkit-dev/2020-October/031562.html</a>",453,Proposal,Idle Detection API,https://wicg.github.io/idle-detection/
,The imperative slotting API allows the developer to explicitly set the assigned nodes for a slot element.,imperative-shadow-dom,,worth prototyping,The proposal is a relatively small addition to the existing Shadow DOM API and can make it easier to use Shadow DOM.,409,WHATWG,Imperative Shadow DOM Distribution API,https://github.com/w3c/webcomponents/blob/gh-pages/proposals/Imperative-Shadow-DOM-Distribution-API.md
,"The Import Assertions and JSON modules proposal adds an inline syntax for module import statements to pass on more information alongside the module specifier, and an initial application for such attributes in supporting JSON modules in a common way across JavaScript environments.",import-attributes,https://bugzilla.mozilla.org/show_bug.cgi?id=1648614,worth prototyping,This proposal enables the importing of JSON content into a JS module. This mechanism is a prerequisite for HTML/CSS/JSON modules.,373,Ecma,Import Assertions,https://tc39.es/proposal-import-assertions/
import-maps,Import maps allow web pages to control the behavior of JavaScript imports.,import-maps,https://bugzilla.mozilla.org/show_bug.cgi?id=1688879,worth prototyping,"We support the overall intent of the proposal and consider it worth prototyping. There are a few technical details that may require some care, in particular the relationship between speculative parsing and dynamic import maps.",146,Proposal,Import Maps,https://wicg.github.io/import-maps/
,"This document proposes a few changes to cookies inspired by the properties of the HTTP State Tokens mechanism.  First, cookies should be treated as ""SameSite=Lax"" by default.  Second, cookies that explicitly assert ""SameSite=None"" in order to enable cross-site delivery should also be marked as ""Secure"".  Third, same-site should take the scheme of the sites into account.  Fourth, cookies should respect schemes.  Fifth, cookies associated with non-secure schemes should be removed at the end of a user's session.  Sixth, the definition of a session should be tightened.",cookie-incrementalism,,worth prototyping,"Any approach that reduces the scope of cookie use is a security and privacy win. Because some such changes can break websites that rely on the broader scope, we would like to proceed with caution, but believe that the feature is worth experimenting with and collecting data about.",260,Proposal,Incrementally Better Cookies,https://tools.ietf.org/html/draft-west-cookie-incrementalism
mdn-api_keyboardlayoutmap,This specification defines an API that allows websites to convert from a given code value to a valid key value that can be shown to the user to identify the given key. The conversion from code to key is based on the user’s currently selected keyboard layout. It is intended to be used by web applications that want to treat the keyboard as a set of buttons and need to describe those buttons to the user.,keyboard-map,https://bugzilla.mozilla.org/show_bug.cgi?id=1469017,harmful,"We're concerned that this exposes keyboard layouts, which seem likely to be a significant source of fingerprinting data, in a way that does not require any user interaction.",300,Proposal,Keyboard Map,https://wicg.github.io/keyboard-map/
,This specification defines an API that allows web page authors to monitor the largest paint an element triggered on screen.,largest-contentful-paint,https://bugzilla.mozilla.org/show_bug.cgi?id=1722322,worth prototyping,"We are aware the concerns about this API such as the heuristic isn't perfect, however, we believe this is the area we should explore and there are positive signs from this API such that it has the best correlation with SpeedIndex.",191,Proposal,Largest Contentful Paint API,https://wicg.github.io/largest-contentful-paint/
,This specification defines an API that provides web page authors with insights into the stability of their pages based on movements of the elements on the page.,layout-instability,https://bugzilla.mozilla.org/show_bug.cgi?id=1651528,worth prototyping,"We're somewhat uneasy about the potential burden that this feature imposes on sites that don't use it, due to the requirements of the ""buffered"" flag.  However, setting that reservation aside, we think this sort of feature is worth exploring.  We've filed spec issues on that reservation and on some other points that need clarity.",374,Proposal,Layout Instability API,https://wicg.github.io/layout-instability/
loading-lazy-attr,"Enabling images to be fetched at a later time, when the user is likely to look at them.",loading-lazy-attr,https://bugzilla.mozilla.org/show_bug.cgi?id=1542784,worth prototyping,"As currently scoped in the HTML pull request this is a reasonable addition to how images are fetched. (Note that the scope on Can I use is slightly bigger. Frames are likely a reasonable addition, but have their own set of design challenges.)",151,WHATWG,Lazy loading (of images),https://github.com/whatwg/html/pull/3752
,"This document updates RFC 6761 with the goal of ensuring that ""localhost"" can be safely relied upon as a name for the local host's loopback interface. To that end, stub resolvers are required to resolve localhost names to loopback addresses. Recursive DNS servers are required to return ""NXDOMAIN"" when queried for localhost names, making non-conformant stub resolvers more likely to fail and produce problem reports that result in updates. Together, these requirements would allow applications and specifications to join regular users in drawing the common-sense conclusions that ""localhost"" means ""localhost"", and doesn't resolve to somewhere else on the network.",let-localhost-be-localhost,https://bugzilla.mozilla.org/show_bug.cgi?id=1220810,worth prototyping,"The proposal, to the extent it applies to browsers, is to hardcode localhost to always resolve to a loopback address instead of invoking the resolver library to perform such translation. Since browsers (including Firefox) treat files hosted on localhost to be more privileged than remote content, this proposal seems to be a good belt-and-suspenders approach to prevent certain exploits.",121,IETF,Let 'localhost' be localhost.,https://tools.ietf.org/html/draft-ietf-dnsop-let-localhost-be-localhost
,This describes APIs for TCP and UDP communication with arbitrary hosts,low-level-sockets,,harmful,"This API creates a way to circumvent protections, in particular the same-origin policy, that have been developed to protect these services. The safeguards outlined in the explainer are inadequate and incomplete. Relying on user consent is not a sufficient safeguard if this capability were to be exposed to the web.",431,Proposal,Low-level (Raw) Sockets API,https://github.com/WICG/raw-sockets/blob/master/docs/explainer.md
,This specification enables web developers to show personalized media recommendations on the browser UI.,media-feeds,,harmful,"Media feeds uses harmful technologies to amplify a harmful feature. Many of the capabilities this enables are available to sites in other ways. For those capabilities that are not, extensions to the <a href=""https://w3c.github.io/mediasession/"">Media Session API</a> would be preferable.",370,Proposal,Media Feeds,https://wicg.github.io/media-feeds/
mdn-api_mediastreamtrack_contenthint,This specification extends MediaStreamTrack to let web applications provide an optional media-content hint attribute. This helps sinks like RTCPeerConnection or MediaRecorder select encoder parameters and processing algorithms appropriately based on a hint about the nature of the content being consumed without having to examine the actual content.,mst-content-hint,,worth prototyping,"Content Hints is a welcome higher-level abstraction that does not require broad knowledge and tuning of video encoder, audio-processing, and congestion controls directly. Early concerns over lack of specificity around how hints interact with the lower-level controls they complement have been addressed.",101,W3C,MediaStreamTrack Content Hints,https://w3c.github.io/mst-content-hint/
netinfo,The Network Information API enables web applications to access information about the network connection in use by the device.,netinfo,https://bugzilla.mozilla.org/show_bug.cgi?id=1057169,harmful,"This API provides information about a client's network connection, which allows sites to obtain additional information about clients and their environment. It is better that sites use methods that dynamically adapt to available bandwidth, as that is more accurate and likely to be applicable in the moment.",117,Proposal,Network Information API,https://wicg.github.io/netinfo
,"This specification defines a delivery mechanism for a number of policies which are to be applied to an entire origin. It compliments header-based delivery mechanisms for existing policies (Content Security Policy, Referrer Policy, etc).",origin-policy,https://bugzilla.mozilla.org/show_bug.cgi?id=1508290,worth prototyping,"Giving developers the ability to set policies for an entire origin is a powerful new primitive that will benefit security of applications as well as performance due to the ability to bypass CORS preflights. The renewed effort to make this happen takes a strong anti-tracking stance that is in line with our efforts around privacy in Fetch, such as isolating the HTTP cache. Given this, it seems worth figuring out if this can be made viable.",160,Proposal,Origin Policy,https://wicg.github.io/origin-policy/
,This feature allows for an agent cluster to be keyed by origin rather than site.,domenic-origin-isolation,https://bugzilla.mozilla.org/show_bug.cgi?id=1665474,worth prototyping,"Letting developers opt out of document.domain and reduce the potential size of their agent cluster allows user agents to balance security, performance, and resource management.",244,WHATWG,Origin-Keyed Agent Clusters,https://html.spec.whatwg.org/multipage/origin.html#origin-isolation
,This specification defines capabilities that enable Web applications to handle requests for payment.,payment-handler,https://bugzilla.mozilla.org/show_bug.cgi?id=1465682,worth prototyping,"The Payment Handler API has the potential to enable an open and secure payments ecosystem for the Web. At the same time, we remain concerned about some of the user interface requirements, and by the privacy and security assumptions made in the specification. We've raised our concerns at the W3C, and are working with the Payments working group to address those concerns. We hope that by prototyping the API we will actively address the privacy, security, and UI concerns; and fix those in the specification too. Additionally, having a working prototype will allow us to closely collaborate with the developer community and financial industry. By doing so, we will gain a better understanding of how we can solve the challenges we'll face, were we to eventually ship this API.",23,W3C,Payment Handler API,https://w3c.github.io/payment-handler
,"This specification defines the machine-readable manifest file, known as a payment method manifest, describing how a payment method participates in the Web Payments ecosystem, and how such files are to be used.",payment-method-manifest,,defer,"We'd like to defer this for the same reasons as Payment Handler, given that it is closely related.",22,W3C,Payment Method Manifest,https://w3c.github.io/payment-method-manifest
